"Rank","Player","Team","Positions","Overall","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"75","Kodai Senga","NYM","SP","200","15","115","76.5","15.4","130.0","-70.0"
"76","Nick Pivetta","BOS","SP,RP","202","48","107","76.8","14.8","185.0","-17.0"
"77","Aaron Civale","TB","SP","206","51","102","78.4","9.4","211.0","+5.0"
"78","Triston McKenzie","CLE","SP","223","55","107","81.5","10.8","213.0","-10.0"
"79","Devin Williams","MIL","RP","211","7","145","68.3","45.1","57.0","-154.0"
"80","Alex Lange","DET","RP","226","53","108","83.5","10.2","194.0","-32.0"
"81","Charlie Morton","ATL","SP","227","59","100","84.1","8.5","200.0","-27.0"
"82","Ryan Pepiot","TB","SP,RP","224","48","95","77.6","7.9","192.0","-32.0"
"83","Braxton Garrett","MIA","SP","228","39","116","79.1","12.2","207.0","-21.0"
"84","Jose Leclerc","TEX","RP","233","68","119","86.8","11.8","197.0","-36.0"
"85","Brayan Bello","BOS","SP","234","64","148","87.3","10.2","231.0","-3.0"
"86","Kenta Maeda","DET","SP","241","68","131","94.3","10.7","229.0","-12.0"
"87","Nick Lodolo","CIN","SP","244","60","115","90.6","10.6","245.0","+1.0"
"88","Kyle Harrison","SF","SP","248","68","133","98.6","13.4","243.0","-5.0"
"89","Reid Detmers","LAA","SP","249","68","118","93.3","8.2","220.0","-29.0"
"90","Nestor Cortes Jr.","NYY","SP","250","53","113","94.4","11.1","234.0","-16.0"
"91","Kyle Finnegan","WSH","RP","251","67","115","96.9","7.7","238.0","-13.0"
"92","Andrew Abbott","CIN","SP","255","72","138","99.3","13.2","254.0","-1.0"
"93","Cristopher Sanchez","PHI","SP","258","68","123","91.0","11.9","236.0","-22.0"
"94","Taj Bradley","TB","SP","269","80","119","100.2","10.5","248.0","-21.0"
"95","Marcus Stroman","NYY","SP","270","79","114","100.8","8.1","232.0","-38.0"
"96","Robert Suarez","SD","RP","267","74","120","93.8","10.5","249.0","-18.0"
"97","Kutter Crawford","BOS","SP,RP","263","73","136","95.6","16.5","263.0","-"
"98","Yusei Kikuchi","TOR","SP","275","72","129","99.0","11.8","242.0","-33.0"
"99","Kyle Bradish","BAL","SP","274","38","159","96.9","32.0","188.0","-86.0"
"100","Carlos Estevez","LAA","RP","278","63","153","98.3","17.7","221.0","-57.0"
"101","Mason Miller","OAK","SP","277","76","127","91.6","11.0","261.0","-16.0"
"102","Shane Baz","TB","SP","280","65","122","96.4","16.3","225.0","-55.0"
"103","Emmet Sheehan","LAD","SP","281","71","144","105.2","16.3","303.0","+22.0"
"104","Will Smith","KC","RP","287","37","195","109.0","26.3","272.0","-15.0"
"105","Reese Olson","DET","SP","289","89","149","111.1","12.1","313.0","+24.0"
"106","Michael Wacha","KC","SP","290","88","173","105.4","18.0","265.0","-25.0"
"107","MacKenzie Gore","WSH","SP","288","76","152","106.8","15.5","283.0","-5.0"
"108","Griffin Canning","LAA","SP","293","81","134","102.1","12.7","280.0","-13.0"
"109","Max Scherzer","TEX","SP","294","81","140","104.4","14.2","253.0","-41.0"
"110","Lance Lynn","STL","SP","295","74","143","113.7","12.3","297.0","+2.0"
"111","Seth Lugo","KC","SP","302","94","160","112.5","16.5","278.0","-24.0"
"112","Robert Stephenson","LAA","RP","303","55","151","106.1","17.1","256.0","-47.0"
"113","Jon Gray","TEX","SP","307","78","128","111.4","14.6","292.0","-15.0"
"114","Yuki Matsui","SD","RP","304","63","170","111.9","22.0","273.0","-31.0"
"115","Luis Severino","NYM","SP","305","89","208","112.6","26.0","276.0","-29.0"
"116","Edward Cabrera","MIA","SP","309","102","129","115.1","6.0","290.0","-19.0"
"117","Ryan Pressly","HOU","RP","310","37","136","102.5","23.7","247.0","-63.0"
"118","Hunter Harvey","WSH","RP","315","53","137","108.3","15.7","326.0","+11.0"
"119","David Robertson","TEX","RP","321","91","178","118.7","22.1","340.0","+19.0"
"120","Logan Allen","CLE","SP","324","75","137","118.2","14.0","364.0","+40.0"
"121","John Means","BAL","SP","326","93","147","120.3","16.5","270.0","-56.0"
"122","Louie Varland","MIN","SP,RP","329","70","144","115.4","16.0","300.0","-29.0"
"123","James Paxton","LAD","SP","335","94","172","128.1","20.9","353.0","+18.0"
"124","Jameson Taillon","CHC","SP","336","92","161","130.5","18.5","397.0","+61.0"
"125","Ranger Suarez","PHI","SP","338","98","143","125.1","10.9","321.0","-17.0"
"126","Lucas Giolito","BOS","SP","333","75","924","186.1","226.5","255.0","-78.0"
"127","A.J. Puk","MIA","RP","341","90","158","122.3","23.5","286.0","-55.0"
"128","Yennier Cano","BAL","RP","345","89","145","126.0","10.9","293.0","-52.0"
"129","Jason Adam","TB","RP","353","81","140","122.6","10.6","338.0","-15.0"
"130","Paul Skenes","PIT","SP ","354","85","297","141.4","55.4","274.0","-80.0"
"131","Aroldis Chapman","PIT","RP","357","92","153","129.2","14.1","298.0","-59.0"
"132","Clayton Kershaw","LAD","SP ","360","98","182","141.2","28.6","308.0","-52.0"
"133","James McArthur","KC","RP","358","104","209","142.4","24.4","392.0","+34.0"
"134","Tyler Wells","BAL","SP","365","107","156","130.6","14.2","357.0","-8.0"
"135","Chris Paddack","MIN","RP","356","86","196","131.3","33.5","341.0","-15.0"
"136","DL Hall","MIL","RP","370","94","169","135.2","24.2","356.0","-14.0"
"137","Sean Manaea","NYM","SP,RP","372","100","174","138.4","22.5","314.0","-58.0"
"138","Dean Kremer","BAL","SP","369","95","151","129.0","16.9","299.0","-70.0"
"139","Jordan Hicks","SF","RP","368","101","144","129.1","12.8","349.0","-19.0"
"140","Garrett Whitlock","BOS","SP,RP","379","94","168","147.3","18.3","372.0","-7.0"
"141","Alek Manoah","TOR","SP","374","99","239","159.9","39.7","318.0","-56.0"
"142","Matt Brash","SEA","RP","391","107","222","141.8","37.4","368.0","-23.0"
"143","Zack Littell","TB","SP,RP","398","114","231","154.4","34.1","412.0","+14.0"
"144","Clarke Schmidt","NYY","SP","390","111","157","145.6","10.4","351.0","-39.0"
"145","Scott Barlow","CLE","RP","382","97","208","157.9","31.4","472.0","+90.0"
"146","Frankie Montas","CIN","RP","389","113","180","146.8","21.5","331.0","-58.0"
"147","Trevor Rogers","MIA","SP","383","118","166","148.9","14.0","396.0","+13.0"
"148","Taijuan Walker","PHI","SP","381","90","265","162.0","44.7","305.0","-76.0"
"149","Steven Matz","STL","SP,RP","384","103","173","149.6","13.3","457.0","+73.0"
"150","Josiah Gray","WSH","SP","385","99","883","231.2","230.8","391.0","+6.0"
"151","Andrew Heaney","TEX","SP,RP","395","108","170","151.1","17.6","330.0","-65.0"
"152","Chase Silseth","LAA","SP,RP","394","110","199","152.1","20.4","447.0","+53.0"
"153","Graham Ashcraft","CIN","SP","400","94","724","218.7","179.3","370.0","-30.0"
"154","Jorge Lopez","NYM","RP","401","101","388","194.2","101.6","586.0","+185.0"
"155","JP Sears","OAK","SP","402","88","175","156.8","14.0","384.0","-18.0"
"156","Justin Lawrence","COL","RP","392","89","289","166.5","49.7","430.0","+38.0"
"157","Bryan Abreu","HOU","RP","397","101","179","150.1","20.5","284.0","-113.0"
"158","Sawyer Gipson-Long","DET","SP","420","104","201","169.4","16.0","495.0","+75.0"
"159","Dylan Floro","WSH","RP","414","107","344","194.5","90.2","590.0","+176.0"
"160","Gavin Stone","LAD","SP","413","104","686","227.5","176.5","379.0","-34.0"
"161","Miles Mikolas","STL","SP","421","96","181","163.4","13.1","355.0","-66.0"
"162","Seranthony Dominguez","PHI","RP","419","104","300","181.1","61.3","498.0","+79.0"
"163","Patrick Sandoval","LAA","SP","428","96","191","165.7","28.6","404.0","-24.0"
"164","Joel Payamps","MIL","RP","399","102","224","151.8","48.6","385.0","-14.0"
"165","Hector Neris","CHC","RP","425","117","176","165.7","13.1","333.0","-92.0"
"166","John Brebbia","CWS","SP,RP","405","97","168","153.0","12.6","442.0","+37.0"
"167","Erick Fedde","CWS","SP","408","110","725","234.9","203.1","352.0","-56.0"
