#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
89,Gavin Williams,CLE,27,27,144,8,8,9,0,0,124,63,18,147,57,9.18,3.55,2.58,1.15,0.23,1.26,0.281,72.30%,3.96,4.2,166.2,3.66,0.61,0.59
90,MacKenzie Gore,WSN,26,26,140.1,8,9,9,0,0,129,67,22,149,58,9.54,3.71,2.57,1.38,0.241,1.33,0.294,72.80%,4.29,4.47,277.6,2.22,-0.53,1.09
91,Taijuan Walker,PHI,27,27,154.2,10,9,10,0,0,152,79,22,121,56,7.06,3.23,2.19,1.26,0.253,1.34,0.284,68.60%,4.6,4.72,423.9,4.86,0.13,1.55
92,Keaton Winn,SFG,20,27,122.2,6,8,7,0,1,120,57,14,106,36,7.78,2.62,2.97,1.06,0.253,1.27,0.298,69.30%,4.18,4.12,450.8,1.6,1.43,0.3
93,Reese Olson,DET,24,24,131.2,7,8,8,0,0,122,63,17,126,49,8.63,3.35,2.57,1.16,0.242,1.3,0.291,69.60%,4.3,4.23,297.2,3.61,-2.92,0.69
94,Brandon Pfaadt,ARI,26,26,145.2,8,9,8,0,0,142,70,24,139,36,8.59,2.24,3.83,1.49,0.251,1.22,0.293,70.70%,4.33,4.38,199.3,4.54,-1.5,0.86
95,Garrett Whitlock,BOS,15,40,109.2,7,6,5,2,4,108,50,15,107,25,8.78,2.07,4.25,1.23,0.254,1.22,0.307,70.20%,4.12,3.89,369.6,4.95,-1.71,0.28
96,Tanner Houck,BOS,24,29,130.1,8,8,6,1,0,126,62,15,122,48,8.41,3.29,2.56,1.07,0.249,1.33,0.301,70.00%,4.27,4.22,400,1.34,-0.08,0.84
97,Cristian Javier,HOU,28,28,157,10,7,10,0,0,133,75,26,166,62,9.54,3.53,2.7,1.49,0.226,1.24,0.27,71.30%,4.31,4.6,179.6,4.48,-0.02,1.15
98,Jameson Taillon,CHC,26,26,142.2,8,8,9,0,0,142,72,23,123,38,7.78,2.37,3.28,1.47,0.256,1.26,0.291,69.20%,4.52,4.54,331.5,1.83,-0.2,1.05
99,Logan Allen,CLE,25,25,137,8,8,9,0,0,129,63,19,130,49,8.54,3.24,2.63,1.26,0.245,1.3,0.291,72.60%,4.13,4.34,344.8,1.99,-2.09,0.73
100,Jordan Hicks,SFG,17,33,102.1,6,7,5,0,2,89,44,9,111,48,9.79,4.23,2.32,0.82,0.231,1.34,0.301,72.40%,3.83,3.86,323.6,3.81,-1.01,0.62
101,Edward Cabrera,MIA,25,25,129,8,9,7,0,0,108,58,15,139,65,9.74,4.53,2.15,1.08,0.225,1.34,0.284,72.90%,4.04,4.35,295.6,2.08,0.5,0.96
102,Kyle Hendricks,CHC,25,25,140,8,8,9,0,0,149,71,21,99,34,6.4,2.17,2.94,1.33,0.268,1.3,0.295,68.40%,4.58,4.61,437.6,3.45,-0.25,1.03
103,Ryan Pepiot,TBR,24,27,132.1,9,7,8,0,0,115,59,20,132,45,8.97,3.07,2.92,1.36,0.23,1.21,0.273,73.00%,3.99,4.44,186.9,6.4,0.16,0.49
104,Michael Wacha,KCR,24,24,133.1,8,7,9,0,0,133,66,20,112,40,7.58,2.7,2.8,1.37,0.256,1.3,0.291,70.20%,4.44,4.55,287.7,5.47,1.37,0.88
105,Max Scherzer,TEX,14,15,80.2,5,4,7,0,0,70,35,13,91,22,10.16,2.43,4.18,1.46,0.231,1.14,0.286,73.50%,3.89,4.06,307.6,3.83,-1.25,0.64
106,Shane Baz,TBR,17,21,86.2,6,5,5,0,1,76,37,12,93,28,9.69,2.86,3.39,1.21,0.231,1.19,0.287,72.50%,3.84,3.94,256.7,4.03,-1,0.48
107,Edwin Diaz,NYM,0,60,62,3,2,0,33,1,44,19,6,97,21,14.07,3.1,4.54,0.83,0.196,1.05,0.314,78.50%,2.71,2.54,44.4,3.33,-0.38,2.07
108,Trevor Rogers,MIA,20,25,104.1,6,7,6,0,0,98,49,13,105,37,9.07,3.19,2.84,1.12,0.245,1.3,0.302,70.00%,4.22,4.11,337.3,3.98,-1.35,0.27
109,A.J. Puk,MIA,10,45,91.1,6,6,3,3,3,84,41,12,105,30,10.3,2.91,3.54,1.2,0.241,1.24,0.309,72.10%,3.99,3.85,341.3,3.36,-0.25,0.07
110,Martin Perez,PIT,25,25,144.2,8,9,10,0,0,154,73,18,103,53,6.39,3.32,1.92,1.11,0.269,1.44,0.301,70.50%,4.52,4.67,598.2,4.37,1.12,1.65
111,Louie Varland,MIN,18,33,120.1,7,6,7,0,0,117,56,17,116,34,8.7,2.58,3.37,1.27,0.251,1.26,0.3,71.30%,4.15,4.12,308.5,1.34,1.93,0.37
112,Dean Kremer,BAL,27,27,157,9,8,10,0,0,155,76,23,135,50,7.73,2.88,2.68,1.33,0.254,1.31,0.292,71.30%,4.33,4.53,316.6,4.2,-0.23,1.17
113,Luis Severino,NYM,24,24,126.1,7,8,8,0,0,123,64,20,119,43,8.5,3.08,2.76,1.4,0.251,1.32,0.295,70.00%,4.53,4.56,278.8,3.61,-0.02,0.9
114,Zack Littell,TBR,22,31,131.1,7,7,8,0,0,133,64,20,108,33,7.4,2.26,3.28,1.39,0.259,1.26,0.293,69.90%,4.4,4.48,355.1,5.23,0.8,0.67
115,Jakob Junis,MIL,15,27,99,5,5,3,0,1,100,49,15,96,27,8.71,2.45,3.56,1.37,0.259,1.28,0.308,70.20%,4.41,4.25,505.5,2.74,-0.99,0.28
116,Jack Flaherty,DET,25,25,136.2,7,8,8,0,0,133,68,18,134,57,8.81,3.78,2.33,1.18,0.251,1.39,0.305,70.30%,4.49,4.46,355.6,3.21,-0.16,1.42
117,JP Sears,OAK,28,28,161.1,8,11,9,0,0,153,78,26,147,50,8.19,2.78,2.94,1.45,0.246,1.26,0.283,70.90%,4.35,4.63,381.2,2.56,-0.42,0.99
118,Kyle Bradish,BAL,15,15,86.1,6,4,7,0,0,78,36,10,85,27,8.83,2.82,3.13,1.06,0.237,1.22,0.29,73.10%,3.71,3.9,354.9,2.42,0.39,0.51
119,Andrew Heaney,TEX,23,27,122.1,7,7,7,0,0,116,60,20,128,43,9.42,3.18,2.97,1.51,0.246,1.3,0.296,72.20%,4.4,4.58,369.9,1.96,0.07,0.78
120,Tyler Anderson,LAA,26,26,151.1,8,8,9,0,0,153,80,24,121,52,7.2,3.07,2.35,1.43,0.258,1.35,0.288,68.90%,4.74,4.86,586.9,4.29,0.16,1.56
121,Nick Martinez,CIN,16,39,113,6,6,5,2,3,112,55,16,105,43,8.37,3.46,2.42,1.31,0.255,1.37,0.3,72.60%,4.34,4.56,452,3.47,0.2,0.79
122,Paul Skenes,PIT,12,12,60.2,3,3,2,0,0,55,28,6,59,22,8.79,3.26,2.7,0.93,0.239,1.27,0.295,68.00%,4.18,3.73,303.6,8.25,0.58,0.54
123,Colin Rea,MIL,23,30,129.2,7,7,7,0,0,127,67,22,112,40,7.75,2.77,2.8,1.51,0.253,1.29,0.286,69.20%,4.63,4.74,521.4,2.42,-0.69,0.94
124,Chase Silseth,LAA,22,26,115.2,7,7,6,0,1,108,56,16,114,49,8.88,3.8,2.34,1.27,0.243,1.35,0.292,71.60%,4.36,4.52,349.8,2.71,0.21,0.77
125,Wade Miley,MIL,23,23,127.1,8,7,8,0,0,128,60,18,89,43,6.32,3.04,2.08,1.24,0.257,1.34,0.283,72.50%,4.22,4.77,497.8,4.28,0.82,0.75
126,Paul Blackburn,OAK,24,24,132.1,6,8,7,0,0,138,66,17,110,46,7.46,3.11,2.39,1.15,0.264,1.39,0.306,69.70%,4.51,4.41,553.8,4.02,-0.91,1.13
127,Adrian Houser,NYM,22,25,122.2,7,8,6,0,0,126,61,15,91,47,6.69,3.42,1.95,1.11,0.261,1.41,0.295,69.80%,4.51,4.62,541.7,2.68,0.23,1.13
128,Aaron Ashby,MIL,10,31,75.2,4,5,3,0,1,68,33,8,84,34,9.97,4.06,2.46,0.99,0.236,1.35,0.306,73.70%,3.88,3.96,415.9,4.94,-1.15,0.48
