#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
180,Javier Assad,CHC,12,38,95,5,5,4,0,3,94,45,12,80,37,7.54,3.46,2.18,1.17,0.255,1.38,0.295,71.90%,4.28,4.55,526.1,2.4,1.25,0.44
181,Patrick Corbin,WSN,27,27,157.1,7,13,9,0,0,179,91,27,114,52,6.51,2.98,2.19,1.56,0.282,1.47,0.307,68.60%,5.21,5.15,658.5,5.09,-0.33,2.66
182,Raisel Iglesias,ATL,0,59,60.2,4,4,0,31,2,53,22,8,73,16,10.8,2.31,4.68,1.15,0.23,1.12,0.303,76.40%,3.33,3.38,60.1,1.29,1.62,1.92
183,Clay Holmes,NYY,0,61,63,4,3,0,29,4,54,23,5,66,23,9.45,3.34,2.83,0.64,0.227,1.22,0.297,73.30%,3.32,3.4,102.1,1.15,-1.15,1.87
184,Jeffrey Springs,TBR,6,12,38.2,3,2,3,0,0,33,15,5,43,11,10.09,2.65,3.81,1.16,0.226,1.14,0.289,74.10%,3.55,3.63,557.3,3.04,0.45,1.04
185,Aroldis Chapman,PIT,0,57,56.1,4,4,0,7,13,40,21,5,84,34,13.45,5.4,2.49,0.83,0.197,1.31,0.306,77.00%,3.32,3.38,360.8,3.57,-0.31,0.81
186,Caleb Ferguson,NYY,1,58,55.2,4,3,0,1,13,49,22,5,63,22,10.27,3.59,2.86,0.84,0.232,1.27,0.308,74.60%,3.48,3.59,735.3,2.85,-0.39,0.78
187,Michael Lorenzen,,17,20,99.2,6,7,5,0,0,99,52,14,79,36,7.08,3.24,2.18,1.3,0.255,1.35,0.286,68.80%,4.65,4.74,548.3,3.85,-0.24,0.62
188,Chris Martin,BOS,0,59,58.2,4,3,0,3,16,58,22,6,58,11,8.87,1.68,5.27,0.97,0.254,1.18,0.315,74.30%,3.43,3.33,466.3,1.8,0.31,0.94
189,Mason Miller,OAK,0,53,60,2,3,0,15,8,45,22,6,77,25,11.6,3.7,3.13,0.93,0.205,1.16,0.286,74.40%,3.35,3.42,215.4,6.08,-0.3,1.26
190,Matt Brash,SEA,0,50,51.1,4,3,0,8,10,41,19,4,70,23,12.38,4.07,3.04,0.71,0.216,1.25,0.321,74.90%,3.29,3.05,367.1,3.41,-0.66,0.89
191,Quinn Priester,PIT,13,23,77.1,4,5,4,0,0,78,41,10,63,32,7.33,3.74,1.96,1.11,0.258,1.42,0.298,67.40%,4.8,4.63,721.8,2.92,-1.26,0.51
192,Ryan Pressly,HOU,0,60,61.2,4,3,0,5,16,53,23,7,68,17,10.02,2.45,4.09,0.97,0.228,1.13,0.295,73.40%,3.39,3.32,301.6,1.15,1.91,0.93
193,Jose Urquidy,HOU,18,33,119.1,7,6,7,0,1,119,62,21,95,34,7.17,2.54,2.82,1.58,0.255,1.28,0.28,69.20%,4.66,4.9,455.3,3.32,0.65,0.87
194,Zack Greinke,,15,15,84.1,4,6,4,0,0,93,44,13,57,18,6.1,1.89,3.22,1.44,0.275,1.31,0.297,68.50%,4.69,4.7,748.5,1.56,1.11,0.39
195,Joe Kelly,LAD,0,55,54.2,3,3,0,2,14,45,23,5,71,24,11.73,4.04,2.9,0.78,0.22,1.27,0.314,71.30%,3.72,3.29,736.9,4.66,-0.52,0.65
196,Dakota Hudson,COL,21,24,116.2,6,8,6,0,0,135,69,15,66,48,5.08,3.73,1.36,1.15,0.285,1.57,0.305,66.50%,5.34,5.22,750,7.31,-0.22,2.17
197,Aaron Bummer,ATL,0,60,59.2,4,3,0,1,15,51,25,5,72,28,10.82,4.14,2.61,0.69,0.228,1.32,0.314,70.90%,3.79,3.4,744.5,4.01,-1.83,0.49
198,Drew Thorpe,,10,11,54.1,4,3,3,0,0,50,24,7,51,18,8.39,3.04,2.76,1.22,0.241,1.26,0.286,72.00%,4.05,4.27,999,1.12,0.72,0.62
199,Hunter Harvey,WSN,0,58,60,3,3,0,13,13,52,24,7,67,17,10,2.58,3.88,1.1,0.23,1.15,0.294,73.70%,3.55,3.58,264.6,2.64,-0.42,1.12
200,Jordan Romano,TOR,0,57,58.1,4,4,0,30,1,48,22,7,69,21,10.6,3.27,3.24,1.04,0.222,1.19,0.293,75.90%,3.39,3.62,70.6,1.84,0.29,1.92
