#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
461,Richie Palacios,TBR,35,129,114,28,6,1,3,14,13,12,21,2,3,1,9.10%,16.40%,0.136,0.276,0.243,0.32,0.38,0.7,0.308,93,627.2,4.04,2.27,1.68
462,Yu Chang,,32,95,87,18,4,0,3,10,11,6,28,1,2,0,6.10%,29.10%,0.16,0.269,0.212,0.269,0.372,0.64,0.278,72,999,3.24,3.05,1.69
463,Keston Hiura,DET,21,76,68,16,3,0,3,9,10,6,27,2,1,0,7.80%,35.20%,0.187,0.33,0.231,0.309,0.418,0.728,0.316,100,739.6,3.92,3.07,1.8
464,Pavin Smith,ARI,26,98,86,21,4,0,3,11,11,10,20,0,0,0,10.70%,20.70%,0.155,0.279,0.24,0.323,0.395,0.718,0.315,96,999,3.16,-0.27,1.74
465,Diego Castillo,BAL,29,58,53,12,2,0,1,6,6,4,11,0,0,0,7.50%,18.80%,0.118,0.265,0.229,0.291,0.347,0.639,0.281,78,999,1.52,-0.59,1.91
466,Aaron Hicks,LAA,96,374,321,73,12,1,9,45,37,47,87,2,6,2,12.70%,23.30%,0.129,0.282,0.227,0.328,0.355,0.684,0.305,90,617.8,3.06,-1.56,0.66
467,Austin Nola,KCR,19,65,58,14,3,0,1,6,6,6,12,1,0,0,9.00%,17.90%,0.091,0.289,0.241,0.314,0.332,0.646,0.289,79,999,2.2,0.85,1.91
468,Tony Kemp,CIN,49,185,161,39,7,1,2,22,16,18,21,3,6,1,9.70%,11.40%,0.094,0.264,0.242,0.326,0.335,0.662,0.297,79,750.6,4.57,0.99,1.56
469,Thomas Saggese,STL,12,46,42,11,2,0,1,6,6,3,11,1,0,0,6.00%,24.90%,0.157,0.315,0.253,0.307,0.409,0.717,0.311,95,999,1.75,0.08,1.97
470,Osleivis Basabe,TBR,12,46,43,11,3,0,0,5,4,3,9,0,1,0,5.90%,19.00%,0.078,0.317,0.257,0.303,0.334,0.638,0.282,76,999,2.67,0.82,2.02
471,Luisangel Acuna,,11,32,30,7,1,0,1,4,3,2,7,0,2,0,6.70%,22.50%,0.134,0.294,0.243,0.297,0.377,0.674,0.295,84,999,0.8,2.44,2.07
472,Brett Harris,OAK,9,36,32,7,1,0,1,3,3,3,7,1,0,0,7.20%,20.80%,0.137,0.268,0.228,0.302,0.364,0.666,0.294,90,999,1.82,0.44,2.02
473,Tyler Heineman,BOS,15,46,41,9,2,0,0,4,3,4,9,0,1,0,8.70%,18.70%,0.096,0.274,0.225,0.301,0.322,0.623,0.279,68,999,1.88,0.52,1.99
474,Logan Porter,KCR,9,28,24,5,1,0,1,3,3,3,8,0,0,0,9.70%,27.70%,0.143,0.29,0.221,0.308,0.364,0.671,0.298,86,999,0.25,0.26,2.03
475,Chad Wallach,,19,62,56,11,2,0,2,6,6,5,20,0,0,0,7.80%,31.80%,0.148,0.263,0.198,0.264,0.346,0.61,0.268,65,999,1.62,-0.65,1.83
476,Jonathan Schoop,,38,133,123,29,6,0,3,14,14,7,29,1,1,0,5.50%,22.10%,0.128,0.282,0.236,0.284,0.364,0.649,0.283,76,999,1.86,-0.12,1.61
477,Niko Goodrum,MIN,6,26,23,5,1,0,1,3,2,3,8,0,1,0,11.60%,30.90%,0.162,0.303,0.222,0.318,0.384,0.701,0.309,97,999,3.1,2.53,2.05
478,Austin Wynns,CIN,25,85,77,17,3,0,2,8,8,6,21,1,0,0,7.40%,24.40%,0.109,0.282,0.224,0.288,0.333,0.621,0.275,65,999,1.74,-0.49,1.8
479,Jace Peterson,ARI,45,166,146,34,6,1,3,19,16,17,40,2,5,1,10.40%,23.80%,0.114,0.297,0.232,0.317,0.346,0.663,0.294,82,741.9,2.79,-0.68,1.56
480,Tyler Gentry,,21,81,71,17,3,0,2,9,8,7,20,1,1,0,9.20%,24.90%,0.13,0.301,0.237,0.317,0.367,0.685,0.303,90,999,1.42,-0.46,1.84
