#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
566,Korey Lee,CHW,33,113,106,22,5,0,2,11,10,6,33,1,2,1,5.50%,29.50%,0.109,0.284,0.211,0.259,0.319,0.579,0.254,57,698,1.27,-0.38,1.66
567,Conner Capel,CIN,14,37,33,8,2,0,1,4,3,4,9,0,1,0,9.60%,24.90%,0.13,0.304,0.239,0.315,0.369,0.685,0.302,82,999,1.37,-0.58,2.04
568,TJ Hopkins,DET,17,36,33,7,1,0,1,4,3,3,11,0,0,0,7.60%,30.40%,0.14,0.311,0.229,0.295,0.369,0.663,0.291,83,999,0.9,1.57,2.01
569,Victor Reyes,,10,31,29,7,1,0,1,3,3,2,7,0,0,0,4.90%,24.00%,0.138,0.306,0.248,0.289,0.386,0.675,0.293,83,999,0.45,0.36,2.05
570,Eli White,ATL,8,27,25,5,1,0,1,3,3,2,9,0,1,0,8.90%,33.70%,0.176,0.281,0.207,0.285,0.384,0.668,0.292,79,999,2.94,2.92,2.03
571,Canaan Smith-Njigba,,18,63,56,13,3,0,1,7,6,6,18,1,2,0,9.90%,28.80%,0.126,0.319,0.234,0.315,0.36,0.674,0.299,84,999,2.64,0.61,1.92
572,Travis Blankenhorn,WSN,12,35,32,7,2,0,1,4,4,3,9,0,0,0,8.00%,25.80%,0.158,0.28,0.224,0.294,0.382,0.676,0.296,83,999,0.67,1.28,1.99
573,Alika Williams,PIT,14,45,42,10,2,0,1,5,4,3,11,0,0,0,7.60%,24.30%,0.09,0.299,0.229,0.292,0.319,0.611,0.272,66,999,2.71,0.06,1.97
574,Ji Man Choi,NYM,41,155,133,29,6,0,5,17,18,19,45,1,0,0,12.00%,29.10%,0.169,0.284,0.22,0.317,0.39,0.707,0.31,94,750.2,2.87,-1.39,1.39
575,Jose Iglesias,NYM,9,36,34,9,2,0,0,3,3,2,6,0,0,0,4.20%,15.80%,0.075,0.302,0.255,0.291,0.331,0.622,0.274,70,999,1.91,0.01,2.05
576,Raimel Tapia,,42,152,139,35,6,1,2,18,14,11,31,1,6,1,7.00%,20.50%,0.107,0.307,0.252,0.306,0.359,0.666,0.292,82,999,1.89,0.73,1.72
577,Brian Serven,TOR,8,28,26,5,1,0,1,2,3,2,8,0,0,0,5.70%,29.70%,0.114,0.247,0.19,0.241,0.303,0.544,0.24,49,999,1.42,-0.27,2.01
578,Grae Kessinger,HOU,22,72,65,13,3,0,1,8,7,7,19,1,1,0,9.30%,26.50%,0.11,0.269,0.206,0.289,0.316,0.605,0.272,71,750.6,1.88,0.87,1.81
579,Nasim Nunez,WSN,23,97,86,19,3,0,1,10,7,10,22,0,5,1,9.90%,22.60%,0.062,0.289,0.222,0.301,0.284,0.585,0.267,64,749.9,2.34,0.09,1.88
580,Johnathan Rodriguez,,9,33,31,7,2,0,1,3,4,2,11,0,0,0,7.10%,32.10%,0.165,0.321,0.235,0.292,0.399,0.691,0.299,90,999,1.73,-0.27,2.01
581,Tucupita Marcano,SDP,31,105,96,23,4,0,1,12,10,8,19,1,2,1,7.20%,18.50%,0.089,0.289,0.241,0.3,0.33,0.629,0.279,74,999,3.69,1.29,1.76
582,Aaron Schunk,COL,8,29,27,7,1,0,1,3,3,2,8,0,0,0,5.60%,26.40%,0.149,0.306,0.242,0.287,0.391,0.678,0.293,67,999,1.1,-0.45,2.05
583,Lazaro Armenteros,,6,23,21,4,1,0,1,3,2,2,10,0,1,0,9.30%,41.00%,0.157,0.317,0.198,0.278,0.355,0.634,0.279,79,999,1.3,0.08,2.05
584,Jesus Aguilar,,36,116,105,24,4,0,4,10,13,9,27,1,0,0,7.60%,23.60%,0.157,0.265,0.228,0.29,0.385,0.675,0.291,88,999,0.92,0.21,1.65
585,Jonah Bride,,20,73,63,15,3,0,1,8,7,8,14,2,0,0,10.40%,19.50%,0.106,0.276,0.23,0.328,0.336,0.664,0.299,85,999,3.58,1.31,1.85
586,Tristan Gray,MIA,12,33,30,7,1,0,2,4,4,2,6,0,0,0,7.50%,19.10%,0.189,0.223,0.216,0.283,0.405,0.688,0.298,85,999,3.74,-0.02,1.97
587,Jhonkensy Noel,,14,40,37,8,2,0,1,4,5,3,11,1,0,0,6.50%,27.20%,0.14,0.286,0.222,0.284,0.362,0.646,0.283,79,999,0.69,1.2,1.96
588,Brennen Davis,,9,27,24,5,1,0,1,3,2,2,8,1,0,0,7.50%,28.40%,0.136,0.286,0.216,0.29,0.352,0.642,0.284,77,999,0.51,2.04,2.04
589,Billy McKinney,PIT,15,51,45,10,2,0,1,6,6,5,14,0,0,0,10.10%,26.60%,0.154,0.279,0.219,0.302,0.373,0.675,0.296,85,999,1.9,-0.39,1.9
590,Tirso Ornelas,SDP,13,48,44,10,2,0,1,5,5,4,11,0,0,0,7.40%,22.80%,0.121,0.294,0.236,0.297,0.357,0.654,0.288,79,999,0.55,1.41,1.96
591,Livan Soto,LAA,8,26,24,5,1,0,0,3,3,2,7,0,0,0,8.80%,25.10%,0.053,0.295,0.218,0.289,0.271,0.56,0.255,56,999,2.43,1.37,2.03
592,Joey Wendle,NYM,81,300,278,66,15,2,3,32,25,14,60,4,7,2,4.80%,20.10%,0.103,0.291,0.239,0.284,0.342,0.626,0.274,70,738.2,1.88,-0.23,1.21
593,Troy Johnston,MIA,20,83,75,18,4,0,2,9,9,6,18,1,1,0,7.70%,21.70%,0.14,0.29,0.243,0.311,0.383,0.694,0.303,88,999,1.16,1.66,1.83
594,Ehire Adrianza,,10,33,29,6,1,0,1,3,3,3,8,0,0,0,8.50%,22.90%,0.116,0.267,0.219,0.292,0.335,0.627,0.278,72,999,2.23,1.93,2.01
595,Luke Williams,ATL,28,57,53,11,2,0,1,7,4,4,16,0,5,1,7.10%,28.20%,0.096,0.293,0.215,0.276,0.311,0.587,0.261,59,999,4.76,2.57,1.98
596,Darin Ruf,,16,56,48,11,2,0,2,7,6,7,16,1,0,0,11.80%,28.30%,0.157,0.294,0.225,0.326,0.381,0.707,0.314,97,999,2.27,0.45,1.89
597,Gilberto Celestino,PIT,11,39,35,8,2,0,1,4,3,3,8,0,1,0,9.00%,21.30%,0.1,0.298,0.239,0.313,0.339,0.652,0.291,79,999,1.86,-0.28,2.02
598,Ben Gamel,NYM,24,83,73,17,3,0,2,10,9,9,20,0,1,0,11.20%,24.40%,0.106,0.298,0.231,0.321,0.336,0.657,0.295,84,999,5.11,2.42,1.78
599,Romy Gonzalez,BOS,33,112,105,24,5,1,3,14,12,5,37,1,4,1,4.90%,33.40%,0.146,0.314,0.225,0.265,0.371,0.636,0.275,65,999,4.72,1.61,1.68
600,Peyton Burdick,CHW,9,31,28,6,1,0,1,3,3,3,12,0,0,0,9.10%,38.30%,0.172,0.293,0.197,0.279,0.369,0.649,0.285,77,999,2.37,1.46,1.99
